codigo,nome,descricao,categoria,secao,fabricante,numero_peca,unidade,localizacao,estoque_atual,estoque_minimo,estoque_maximo,status
17879,MOLA FT 30-1TRAS IVECO TURBO DAILY 3510,MOLA FT 30-1TRAS IVECO TURBO DAILY 3510,,Freio e Suspensão,,,UN,,1.0,0,0,Ativo
17894,OLEO PARA COMPRESSOR,OLEO PARA COMPRESSOR,,Thermo King,,,UN,,2.0,0,0,Ativo
17966,RETENTOR DIANT,RETENTOR DIANT,,Motor e Transmissão,,,UN,,9.0,0,0,Ativo
17976,ROLETE DO PATINHO 35MM,ROLETE DO PATINHO 35MM,,Geral,,,UN,,1.0,0,0,Ativo
17977,TERMINAL DE DIRECAO LADO DIR,TERMINAL DE DIRECAO LADO DIR,,Direção e Cabine,,,UN,,4.0,0,0,Ativo
17986,TRAVA ARANHA TRAS MIC-0275/98,TRAVA ARANHA TRAS MIC-0275/98,,Direção e Cabine,,,UN,,8.0,0,0,Ativo
17989,TRAVA ROLETE,TRAVA ROLETE,,Direção e Cabine,,,UN,,7.0,0,0,Ativo
18070,MOLA PEQUENA PATIM DE FREIO,MOLA PEQUENA PATIM DE FREIO,,Freio e Suspensão,,,UN,,2.0,0,0,Ativo
18607,SOLENOIDE DE COMBUSTIVEL,SOLENOIDE DE COMBUSTIVEL,,Elétrica,,,UN,,5.0,0,0,Ativo
18655,SILICONE BLACK,SILICONE BLACK,,Pintura e Química,,,UN,,8.0,0,0,Ativo
18660,FILTRO AR PRIMARIO,FILTRO AR PRIMARIO,,Motor e Transmissão,,,UN,,1.0,0,0,Ativo
18662,FILTRO AR SECUNDARIO,FILTRO AR SECUNDARIO,,Motor e Transmissão,,,UN,,2.0,0,0,Ativo
18810,MOLA PATIM,MOLA PATIM,,Freio e Suspensão,,,UN,,8.0,0,0,Ativo
18922,LANTERNA LUZ PISCA TETO 0007064,LANTERNA LUZ PISCA TETO 0007064,,Elétrica,,,UN,,10.0,0,0,Ativo
18923,LANTERNA DELIMITADORA CABINE LED FORD,LANTERNA DELIMITADORA CABINE LED FORD,,Elétrica,,,UN,,6.0,0,0,Ativo
19004,LANTERNA PISCA LATERAL,LANTERNA PISCA LATERAL,,Elétrica,,,UN,,3.0,0,0,Ativo
19048,JUNTA DO CABECOTE 3346000,JUNTA DO CABECOTE 3346000,,Motor e Transmissão,,,UN,,1.0,0,0,Ativo
19052,SENSOR NIVEL DO LIQ ARREDECIMENTO,SENSOR NIVEL DO LIQ ARREDECIMENTO,,Elétrica,,,UN,,4.0,0,0,Ativo
20507,CALCO DO MOTOR VW 15.190,CALCO DO MOTOR VW 15.190,,Geral,,,UN,,2.0,0,0,Ativo
20525,CANALETA BORRACHA DA PORTA MB,CANALETA BORRACHA DA PORTA MB,,Geral,,,UN,,3.0,0,0,Ativo
20553,AMORTECEDOR DA GRADE DA CABINE VW 15.190,AMORTECEDOR DA GRADE DA CABINE VW 15.190,,Freio e Suspensão,,,UN,,4.0,0,0,Ativo
20568,BOMBA DIRECAO HIDRAULICA,BOMBA DIRECAO HIDRAULICA,,Motor e Transmissão,,,UN,,1.0,0,0,Ativo
20578,CUICA TRAS. VW 15.190,CUICA TRAS. VW 15.190,,Freio e Suspensão,,,UN,,1.0,0,0,Ativo
20950,PNEU 215/75R 17.5 GOODYEAR,PNEU 215/75R 17.5 GOODYEAR,,Pneus e Rodas,,,UN,,2.0,0,0,Ativo
21442,CORREIA 6PK,CORREIA 6PK,,Motor e Transmissão,,,UN,,2.0,0,0,Ativo
21577,SERVO EMBREAGEM,SERVO EMBREAGEM,,Motor e Transmissão,,,UN,,1.0,0,0,Ativo
21592,BARRA DIRECAO CURTA,BARRA DIRECAO CURTA,,Direção e Cabine,,,UN,,1.0,0,0,Ativo
21593,BARRA LONGA DIRECAO,BARRA LONGA DIRECAO,,Direção e Cabine,,,UN,,1.0,0,0,Ativo
21685,KIT SENSOR DE TEMPERATURA NAO GRADUADO,KIT SENSOR DE TEMPERATURA NAO GRADUADO,,Elétrica,,,UN,,3.0,0,0,Ativo
21702,LAMPADA 1 POLO AMARELA,LAMPADA 1 POLO AMARELA,,Elétrica,,,UN,,41.0,0,0,Ativo
21709,VALVULA REG. PRESSAO LINHA,VALVULA REG. PRESSAO LINHA,,Geral,,,UN,,8.0,0,0,Ativo
21710,CORREIA 3PK,CORREIA 3PK,,Motor e Transmissão,,,UN,,6.0,0,0,Ativo
21711,CORREIA COMPRESSOR ALTERNADOR,CORREIA COMPRESSOR ALTERNADOR,,Thermo King,,,UN,,8.0,0,0,Ativo
21774,CORREIA MOTOR ELETRICO,CORREIA MOTOR ELETRICO,,Motor e Transmissão,,,UN,,4.0,0,0,Ativo
21776,CORREIA BOMBA D'AGUA,CORREIA BOMBA D'AGUA,,Motor e Transmissão,,,UN,,4.0,0,0,Ativo
21778,SENSOR DE ROTACAO DO MOTOR,SENSOR DE ROTACAO DO MOTOR,,Elétrica,,,UN,,2.0,0,0,Ativo
21779,PNEU 235/75R17.5 132/130L,PNEU 235/75R17.5 132/130L,,Pneus e Rodas,,,UN,,2.0,0,0,Ativo
21914,CONJ ESPELHO RETROVISOR BIPARTIDO,CONJ ESPELHO RETROVISOR BIPARTIDO,,Direção e Cabine,,,UN,,1.0,0,0,Ativo
21915,ESPELHO COMPLETO CONVEXO C/BIFOCAL,ESPELHO COMPLETO CONVEXO C/BIFOCAL,,Direção e Cabine,,,UN,,1.0,0,0,Ativo
22100,JG LONA DE FREIO DIANT,JG LONA DE FREIO DIANT,,Freio e Suspensão,,,UN,,4.0,0,0,Ativo
22103,MOLA 6A TRAS,MOLA 6A TRAS,,Freio e Suspensão,,,UN,,2.0,0,0,Ativo
22116,PATIM DE FREIO DIANTEIRO,PATIM DE FREIO DIANTEIRO,,Freio e Suspensão,,,UN,,2.0,0,0,Ativo
22147,JOGO DE REPARO CX DIRECAO VW24280,JOGO DE REPARO CX DIRECAO VW24280,,Direção e Cabine,,,UN,,2.0,0,0,Ativo
22255,JOGO DE REPARO CX DIRECAO VW15190,JOGO DE REPARO CX DIRECAO VW15190,,Direção e Cabine,,,UN,,2.0,0,0,Ativo
22273,TRANSDUTOR ALTA PRES 500 PSI,TRANSDUTOR ALTA PRES 500 PSI,,Elétrica,,,UN,,3.0,0,0,Ativo
22405,BOMBA AGUA,BOMBA AGUA,,Motor e Transmissão,,,UN,,1.0,0,0,Ativo
22417,JOGO DE JUNTAS DO COMPRESSOR,JOGO DE JUNTAS DO COMPRESSOR,,Thermo King,,,UN,,2.0,0,0,Ativo
22419,SELO COMPRESSOR X214P/R12,SELO COMPRESSOR X214P/R12,,Thermo King,,,UN,,3.0,0,0,Ativo
22496,BORRACHA PORTA,BORRACHA PORTA,,Geral,,,UN,,6.0,0,0,Ativo
14466,PLACA ELET. C/ FUSIVEIS E RELES TSE 24V.,PLACA ELET. C/ FUSIVEIS E RELES TSE 24V.,,Elétrica,,,UN,,1.0,0,0,Ativo
14666,ESTICADOR HIDRAULICO DE 10,ESTICADOR HIDRAULICO DE 10,,Geral,,,UN,,1.0,0,0,Ativo
14668,ELETROV SPAL C 11 12V A PA RETA,ELETROV SPAL C 11 12V A PA RETA,,Elétrica,,,UN,,1.0,0,0,Ativo
14938,MANIVELA LEVANTAR VIDRO MB,MANIVELA LEVANTAR VIDRO MB,,Direção e Cabine,,,UN,,2.0,0,0,Ativo
14968,PISTOLA P/ PINTURA TIPO B NA 10,PISTOLA P/ PINTURA TIPO B NA 10,,Ferramentas,,,UN,,1.0,0,0,Ativo
14974,"BRASILUX AZUL MUNICH GM 93 3,6L","BRASILUX AZUL MUNICH GM 93 3,6L",,Pintura e Química,,,UN,,3.0,0,0,Ativo
15039,ADITIVO RADIADOR ORGANICO TECBRIL,ADITIVO RADIADOR ORGANICO TECBRIL,,Motor e Transmissão,,,UN,,11.0,0,0,Ativo
15139,TAMPA TANQUE ARLA,TAMPA TANQUE ARLA,,Motor e Transmissão,,,UN,,3.0,0,0,Ativo
15141,LANTERNA LATERAL DO BAU LARANJA,LANTERNA LATERAL DO BAU LARANJA,,Elétrica,,,UN,,22.0,0,0,Ativo
15249,PARAFUSO 8 8,PARAFUSO 8 8,,"Fixação e Diversos (parafusos, arruelas, etc.)",,,UN,,66.0,0,0,Ativo
15250,PARAFUSO SX 8 8 10X20,PARAFUSO SX 8 8 10X20,,"Fixação e Diversos (parafusos, arruelas, etc.)",,,UN,,2.0,0,0,Ativo
15282,ESTRUTURA TSE S C/ RITES,ESTRUTURA TSE S C/ RITES,,Geral,,,UN,,1.0,0,0,Ativo
15348,CAPO 300,CAPO 300,,Direção e Cabine,,,UN,,2.0,0,0,Ativo
15352,ARLA 32 GRANEL LT,ARLA 32 GRANEL LT,,Motor e Transmissão,,,UN,,152.0,0,0,Ativo
15440,ESMERILHADEIRA,ESMERILHADEIRA,,Ferramentas,,,UN,,2.0,0,0,Ativo
15465,FILTRO DIRECAO HF6162,FILTRO DIRECAO HF6162,,Motor e Transmissão,,,UN,,2.0,0,0,Ativo
15538,ELEMENTO FILTRANTE ARS9838,ELEMENTO FILTRANTE ARS9838,,Geral,,,UN,,1.0,0,0,Ativo
15540,RELE AUXILIAR DNI0122,RELE AUXILIAR DNI0122,,Elétrica,,,UN,,8.0,0,0,Ativo
15541,RELE AUXILIAR 4 TERMINAIS 12V UNIVERSAL,RELE AUXILIAR 4 TERMINAIS 12V UNIVERSAL,,Elétrica,,,UN,,1.0,0,0,Ativo
15543,BOTAO PARTIDA AZUL,BOTAO PARTIDA AZUL,,Elétrica,,,UN,,2.0,0,0,Ativo
15739,PRESILHA FORRO MB1620,PRESILHA FORRO MB1620,,Geral,,,UN,,137.0,0,0,Ativo
15754,CHAVE NIVEL,CHAVE NIVEL,,Ferramentas,,,UN,,5.0,0,0,Ativo
15773,"ELEMENTO BICO INJETOR TURBO DIESEL 2,5","ELEMENTO BICO INJETOR TURBO DIESEL 2,5",,Motor e Transmissão,,,UN,,6.0,0,0,Ativo
15882,FILTRO COMBUSTIVEL WK95412,FILTRO COMBUSTIVEL WK95412,,Motor e Transmissão,,,UN,,1.0,0,0,Ativo
15905,SUPORTE INTERNO RETROVISOR,SUPORTE INTERNO RETROVISOR,,Direção e Cabine,,,UN,,1.0,0,0,Ativo
15915,MARRETA 2KG,MARRETA 2KG,,Ferramentas,,,UN,,1.0,0,0,Ativo
15925,"EMBUCHAMENTO 38,00 MM STD","EMBUCHAMENTO 38,00 MM STD",,Motor e Transmissão,,,UN,,2.0,0,0,Ativo
15930,CAIXA FERRAMENTA 5 GALV 50CM,CAIXA FERRAMENTA 5 GALV 50CM,,Ferramentas,,,UN,,3.0,0,0,Ativo
15931,CHAVE ALLEN 10MM,CHAVE ALLEN 10MM,,Ferramentas,,,UN,,14.0,0,0,Ativo
15934,FERRO DE SOLDA 25W,FERRO DE SOLDA 25W,,Ferramentas,,,UN,,1.0,0,0,Ativo
15942,JOGO DE CHAVE BIELA 10MM,JOGO DE CHAVE BIELA 10MM,,Ferramentas,,,UN,,3.0,0,0,Ativo
15954,"TALHADEIRA REDONDA 8""","TALHADEIRA REDONDA 8""",,Ferramentas,,,UN,,1.0,0,0,Ativo
15958,PISTOLA PNEUMATICA SEPARADOR DE AGUA,PISTOLA PNEUMATICA SEPARADOR DE AGUA,,Ferramentas,,,UN,,1.0,0,0,Ativo
15961,SOQUETE LAMPADA PAINEL 24V,SOQUETE LAMPADA PAINEL 24V,,Elétrica,,,UN,,20.0,0,0,Ativo
15981,PORTA ESCOVA MOTOR DE PARTIDA UF113014,PORTA ESCOVA MOTOR DE PARTIDA UF113014,,Elétrica,,,UN,,2.0,0,0,Ativo
16001,REPARO DA CAIXA DE DIRECAO ACCELO,REPARO DA CAIXA DE DIRECAO ACCELO,,Direção e Cabine,,,UN,,2.0,0,0,Ativo
16003,ELEMENTO FILTRANTE ARS 838,ELEMENTO FILTRANTE ARS 838,,Geral,,,UN,,1.0,0,0,Ativo
16005,VALVULA SERVICO BITZER SUCCAO SOLDA,VALVULA SERVICO BITZER SUCCAO SOLDA,,Thermo King,,,UN,,1.0,0,0,Ativo
16010,MEDIDOR DE DESGASTE DE PNEUS,MEDIDOR DE DESGASTE DE PNEUS,,Ferramentas,,,UN,,1.0,0,0,Ativo
16012,MARRETA DINAMICA GRANDE,MARRETA DINAMICA GRANDE,,Ferramentas,,,UN,,1.0,0,0,Ativo
16013,LUVA ALTA TENSAO,LUVA ALTA TENSAO,,EPI / Segurança,,,UN,,4.0,0,0,Ativo
16014,LUVA COBERTURA ELETRICISTA ALTA TENSAO,LUVA COBERTURA ELETRICISTA ALTA TENSAO,,EPI / Segurança,,,UN,,1.0,0,0,Ativo
